field,code,description,explanation,status
Age,U,Unknown,"A bird that cannot be placed in any classes below . Except in cases where data were not recorded or have been lost during the nesting season, ONLY BIRDS BANDED AFTER THE BREEDING SEASON AND BEFORE JANUARY 1 CAN BE CORRECTLY CODED U.",
Age,AHY,After Hatching Year,"A bird known to have hatched before the calendar year of banding; year of hatch otherwise unknown. Example: Banded 1997 - Hatched before January 1, 1997. Birds that would have been coded U on December 31 graduate to class AHY on January 1.",
Age,HY,Hatching Year,A bird capable of sustained flight and known to have hatched during the calendar year in which it was banded. Example: Banded 1997 - Hatched 1997.,
Age,J,Juvenile,"OBSOLETE, old code used for nestling or recent fledgling, probably mostly translatable to age L but can not be certain. Code still exists in database with old records.",
Age,L,Local,A nestling or young bird incapable of sustained flight. After a young bird achieves sustained flight it becomes age HY until December 31.,
Age,SY,Second Year,A bird known to have hatched in the calendar year preceding the year of banding and in its second calendar year of life. Example: Banded 1997 - Hatched 1996.,
Age,ASY,After Second Year,A bird known to have hatched earlier than the calendar year preceeding the year of banding; year of hatch otherwise unknown. Example: Banded 1997 - Hatched 1995 or earlier.,
Age,TY,Third Year,"A bird known to have hatched in the calendar year two years prior to the year of banding, now in its third calendar year of life. Example: Banded 1997 - Hatched 1995.",
Age,ATY,After Third Year,"A bird known to have hatched prior to two years prior to the year of banding, now in at least its fourth calendar year of life. Example: Banded 1997 - Hatched 1994 or earlier.",
Sex,0,Unknown,,
Sex,4,Male,,
Sex,5,Female,,
Sex,6,"Male, sexed upon recapture",,
Sex,7,"Female, sexed upon recapture",,
How Aged,AM,Auxiliary Marker on bird at capture,"Birds with auxiliary markers (like web tags) and no Federal band or with foreign bands may be micro-aged. Can be used with recaptures for ages beyond SY, TY",Current
How Aged,BO,Behavioral observation,"Includes singing, incubation, mating/copulation, etc.",Current
How Aged,BP,Brood patch,"Generally used for How Sexed, but can be used to age AHY only.",Current
How Aged,BU,Bursa of Fabricius,Most useful in waterfowl,Current
