speciesID,taxonomicOrder,alphaCode,commonName,scientificName,femaleMass_min_g,femaleMass_max_g,maleMass_min_g,maleMass_max_g,femaleWingChord_min_mm,femaleWingChord_max_mm,maleWingChord_min_mm,maleWingChord_max_mm,femaleTailLength_min_mm,femaleTailLength_max_mm,maleTailLength_min_mm,maleTailLength_max_mm,bandSize
10,100,WEGR,Western Grebe,Aechmophorus occidentalis,0,0,0,0,165,193,186,213,0,0,0,0,"7B, 7, 7A"
11,102,CLGR,Clark's Grebe,Aechmophorus clarkii,0,0,0,0,164,193,184,210,0,0,0,0,"7A, 7, 7B"
12,101,WCGR,Western/Clark's Grebe,,0,0,0,0,164,193,184,213,0,0,0,0,"7A, 7B"
20,98,RNGR,Red-necked Grebe,Podiceps grisegena,0,0,0,0,153,203,159,212,0,0,0,0,"7A, 7, 7B"
30,97,HOGR,Horned Grebe,Podiceps auritus,0,0,0,0,126,144,133,147,0,0,0,0,"6, 5, 5A"
40,99,EAGR,Eared Grebe,Podiceps nigricollis,0,0,0,0,120,139,126,142,0,0,0,0,"5, 5A"
50,95,LEGR,Least Grebe,Tachybaptus dominicus,0,0,0,0,83,101,86,105,0,0,0,0,4
60,96,PBGR,Pied-billed Grebe,Podilymbus podiceps,0,0,0,0,115,129,127,143,0,0,0,0,"5, 6, 5A"
70,93,COLO,Common Loon,Gavia immer,0,0,0,0,331,388,341,401,70,96,74,100,"8, 8A, 9"
80,94,YBLO,Yellow-billed Loon,Gavia adamsii,0,0,0,0,358,389,366,403,78,95,82,100,"9, 8A"
90,91,ARLO,Arctic Loon,Gavia arctica,0,0,0,0,293,332,306,348,59,68,61,71,7B
100,92,PALO,Pacific Loon,Gavia pacifica,0,0,0,0,274,305,280,313,52,58,55,62,7B
110,90,RTLO,Red-throated Loon,Gavia stellata,0,0,0,0,253,287,266,297,42,53,45,57,7B
120,401,TUPU,Tufted Puffin,Fratercula cirrhata,0,0,0,0,180,211,186,214,57,68,58,69,"6, 5, 5A"
130,399,ATPU,Atlantic Puffin,Fratercula arctica,0,0,0,0,155,170,156,172,43,54,43,53,5
140,400,HOPU,Horned Puffin,Fratercula corniculata,0,0,0,0,167,190,170,194,58,68,59,69,"5, 5A"
