Year,StateProvince,City,PlotName,Latitude_dec,Longitude_dec,Date,CaptureTime_2400,SpeciesCode,BanderID,ScribeID,BandSize,BandNumberIn,FlagColorIn,FlagCodeIn,ULIn,LLIn,URIn,LRIn,BandNumberOut,FlagColorOut,FlagCodeOut,ULOut,LLOut,UROut,LROut,TagType1,TagStatus1,TagID1,TagType2,TagStatus2,TagID2,BBLDisposition,BBLStatus,BBLCondition,Age,HowAged,FieldSex,CHDSex,HowSexed,CulmenLength_mm,CulmenDepth_mm,CulmenWidth_mm,NaresTip_mm,TotalHead_mm,Tarsus_mm,Wing_mm,P10_mm,P10Exposed_mm,FatScore,Mass_g,CaptureMethod,NestID,BroodID,ChickAgeType,EstHatchDate,ChickAge_d,Feather,FeatherType1,FeatherType2,Blood,BloodFilter,BloodIsotope,Fecal,Notes
2023,Alaska,Nome,Feather,64.84706,-165.94743,7/6/2023,11:50,REKN,ZMPohlen,KHunt,2,,,,,,,,123233659,Dg,1PN,Flag,,Or,X,Radio,Deployed,244475,,,,1,319,7,ASY,PL,M,,BO,34.8,6,3.8,25.5,64.5,32.8,170,,,,114,MN,,1PN,,,,Y,PC6,body,Y,,Y,Y,"L P10 tip not present, measured R wing, Frequency: 173.313, plumage: 6, tarsus-toe: 61, swab: 1326, plasma: 1329, RBC: 1328, DNA: 1327"
2023,Alaska,Nome,34 MI,64.81614,-165.9306,7/7/2023,14:00,REKN,ZMPohlen,KHunt,2,,,,,,,,123233669,Dg,1PT,Flag,,Or,X,Radio,Deployed,244478,,,,1,319,7,ASY,PL,M,,BO,34,6,3.3,24.9,64,32.5,175,,,,123,MN,,1PT,,,,Y,PC6,body,Y,,Y,Y,"Frequency: 134.344, plumage: 6, tarsus-toe: 60, swab: 1334, plasma: 1336, RBC: 1335, DNA: 1337"
2023,Alaska,Nome,Barrel,64.70663,-165.76692,5/25/2023,19:30,REKN,TOortwijn,JvanGils,2,,,,,,,,129232176,Dg,1NV,Flag,,Or,X,Radio,Deployed,,,,,1,319,7,ASY,PL,M,,BO,35.7,6.5,4.1,27.3,66.2,33.3,170,,,,130,WN,,,,,,Y,PC6,body,Y,,Y,Y,Frequency: 173.694
2023,Alaska,Nome,Tombstone,64.94388,-166.2048,6/9/2023,13:30,REKN,TOortwijn,JvanGils,2,,,,,,,,129232177,Dg,1NX,Flag,,Or,X,,,,,,,1,319,7,ASY,PL,F,,BO,35,6.3,3.6,26.5,65.6,31.2,172,,,,127,MN,L01,,,,,Y,PC6,body,Y,,Y,Y,
2023,Alaska,Nome,37 MI,64.84805,-166.08647,6/11/2023,12:10,REKN,TOortwijn,JvanGils,2,,,,,,,,129232178,Dg,1NY,Flag,,Or,X,,,,,,,1,319,7,ASY,PL,F,,BO,36.2,6,3.8,28.5,68.4,34.4,178,,,,142,MN,J02,1MH,,,,Y,PC6,body,Y,,Y,Y,
2023,Alaska,Nome,37 MI,64.84676,-166.0876,6/11/2023,15:30,REKN,TOortwijn,JvanGils,2,,,,,,,,129232180,Dg,1PA,Flag,,Or,X,Radio,Deployed,,,,,1,319,7,ASY,PL,U,,IC,35.5,5.5,3.1,25.9,65.2,33.6,172,,,,117,WN,,,,,,Y,PC6,body,Y,,Y,Y,Frequency: 173.713
2023,Alaska,Nome,34 MI,64.82364,-166.0358,6/16/2023,15:15,REKN,TOortwijn,JvanGils,2,,,,,,,,129232182,Dg,1PC,Flag,,Or,X,Radio,Deployed,,,,,1,319,7,ASY,PL,M,,BO,30.3,6.1,3.5,23.3,61.1,32.2,170,,,,118,MN,ALL01,1PC,,,,Y,PC6,body,Y,,Y,Y,Frequency: 173.812
2023,Alaska,Nome,34 MI,64.82397,-166.04096,6/19/2023,11:06,REKN,TOortwijn,JvanGils,2,,,,,,,,129232183,Dg,1PE,Flag,,Or,X,Radio,Deployed,,,,,1,319,7,ASY,PL,U,,IC,37.8,6.1,3.7,29.7,70.1,35.2,181,,,,144,WN,,,,,,Y,PC6,body,Y,,Y,Y,"Frequency: 173.753, female?"
2023,Alaska,Nome,34 MI,64.8135,-165.95936,6/19/2023,19:00,REKN,TOortwijn,JvanGils,2,,,,,,,,129232186,Dg,1PK,Flag,,Or,X,Radio,Deployed,,,,,1,319,7,ASY,PL,U,,IC,35.1,6.4,4.2,26.2,63.8,30.1,166,,,,123,WN,,,,,,Y,PC6,body,Y,,Y,Y,"Frequency: 173.279, male?"
2023,Alaska,Nome,34 MI,64.81348,-165.99275,6/19/2023,13:45,REKN,TOortwijn,JvanGils,2,,,,,,,,129232184,Dg,1PH,Flag,,Or,X,Radio,Deployed,,,,,1,319,7,ASY,PL,F,,BO,36.4,6.5,3.5,28,68.1,34,180,,,,126,WN,T05,1NN,,,,Y,PC6,body,Y,,Y,Y,Frequency: 173.061
