Year,BroodID,Visit,Date,Time,PlotID,Latitude,Longitude,Stage,HatchDate,AgeType,ChickAge_d,NumberChicks,Observer,ChickAgeEst_d,Adult1FlagCode,Adult1FlagColor,Adult2FlagCode,Adult2FlagColor,Comments
2023,1CX,1,6/24/2023,16:41,37 MI,64.85334,-166.08131,Brood,6/24/2023,Known,0,2,ZPohlen,,1CX,FEDG,1HU,FEDG,"2 chicks, 1 pipped egg, 1 egg with no signs of hatch in bowl"
2023,1CX,2,6/25/2023,9:07,37 MI,64.85334,-166.08131,Brood,6/24/2023,Known,1,3,ZPohlen,,1CX,FEDG,1HU,FEDG,"3 chicks, 1 unhatched egg in bowl"
2023,1CX,3,6/26/2023,12:00,37 MI,64.85534,-166.07919,Brood,6/24/2023,Known,2,3,ZPohlen,,1CX,FEDG,1HU,FEDG,
2023,1CX,4,6/29/2023,16:34,37 MI,64.85156,-166.08131,Brood,6/24/2023,Known,5,3,ZPohlen,,1CX,FEDG,1HU,FEDG,
2023,1CX,5,7/2/2023,13:06,37 MI,64.85502,-166.07948,Brood,6/24/2023,Known,8,3,ZPohlen,,1CX,FEDG,1HU,FEDG,
2023,1CX,6,7/5/2023,12:12,37 MI,64.84035,-166.07830,Brood,6/24/2023,Known,11,2,ZPohlen,,1CX,FEDG,1HU,FEDG,
2023,1CX,7,7/8/2023,8:45,37 MI,64.83804,-166.06932,Brood,6/24/2023,Known,14,3,ZPohlen,,1CX,FEDG,1HU,FEDG,"1MT chick (39) adopted by 1CX, 1MT not detected w/ receiver"
2023,1CX,8,7/11/2023,10:56,37 MI,64.83555,-166.07179,Brood,6/24/2023,Known,17,2,ZPohlen,,1CX,FEDG,1HU,FEDG,"1MT chick (39) adopted by 1CX, 1MT not detected w/ receiver"
2023,1CX,9,7/15/2023,14:47,37 MI,64.83620,-166.07298,Fledge,6/24/2023,Known,21,3,ZPohlen,,1CX,FEDG,1HU,FEDG,"1MT chick (39) adopted by 1CX, 1MT not detected w/ receiver"
2023,1CX,10,7/18/2023,19:47,37 MI,64.83844,-166.06918,Fledge,6/24/2023,Known,24,3,ZPohlen,,1CX,FEDG,1HU,FEDG,"1MT chick (39) adopted by 1CX, 1MT not detected w/ receiver"
2023,1JP,1,6/27/2023,18:20,Steven,64.84456,-166.02062,Brood,6/22/2023,Estimated,6,4,ZPohlen,,1JP,FEDG,,,
2023,1JP,2,6/30/2023,9:31,Steven,64.84439,-166.01918,Brood,6/22/2023,Estimated,9,3,ZPohlen,,1JP,FEDG,,,
2023,1JP,3,7/3/2023,19:19,Steven,64.84951,-166.00195,Brood,6/22/2023,Estimated,12,2,ZPohlen,,1JP,FEDG,,,
2023,1JP,4,7/6/2023,10:00,Steven,64.84868,-166.00445,Brood,6/22/2023,Estimated,15,3,ZPohlen,,1JP,FEDG,,,
2023,1JP,5,7/10/2023,13:20,Steven,64.85151,-165.99015,Brood,6/22/2023,Estimated,19,4,ZPohlen,,1JP,FEDG,,,
2023,1JP,6,7/16/2023,9:30,Steven,,,Not Found,6/22/2023,Estimated,,0,ZPohlen,,1JP,FEDG,,,"1JP heard from 37 on 7/15 but not found on 7/16. Scanned for 1JP on Steven, Feather West, Feather, and 34 and could not locate. Possibly fledged and left? Chicks would havwe been 25 days."
2023,1KU,1,7/5/2023,13:55,37 MI,64.84563,-166.08494,Brood,7/4/2023,Estimated,2,4,ZPohlen,,1KU,FEDG,,,
2023,1KU,2,7/8/2023,10:05,37 MI,64.84950,-166.09150,Brood,7/4/2023,Estimated,5,4,ZPohlen,,1KU,FEDG,,,
2023,1KU,3,7/11/2023,9:41,37 MI,64.84661,-166.08843,Brood,7/4/2023,Estimated,8,4,ZPohlen,,1KU,FEDG,,,
2023,1KU,4,7/15/2023,13:21,37 MI,64.84526,-166.08523,Brood,7/4/2023,Estimated,12,3,ZPohlen,,1KU,FEDG,,,
2023,1KU,5,7/18/2023,20:38,37 MI,64.84230,-166.08477,Brood,7/4/2023,Estimated,15,3,ZPohlen,,1KU,FEDG,,,
2023,1KU,6,7/21/2023,19:14,37 MI,64.85134,-166.08759,Brood,7/4/2023,Estimated,18,2,ZPohlen,,1KU,FEDG,,,
2023,1MH,1,6/23/2023,7:45,37 MI,64.84805,-166.08647,Brood,6/23/2023,Known,0,3,ZPohlen,,1MH,FEDG,1NY,FEDG,3 chicks in bowl
2023,1MH,2,6/26/2023,13:01,37 MI,64.84988,-166.08417,Brood,6/23/2023,Known,3,2,ZPohlen,,1MH,FEDG,1NY,FEDG,
2023,1MH,3,6/29/2023,17:12,37 MI,64.84565,-166.08788,Brood,6/23/2023,Known,6,1,ZPohlen,,1MH,FEDG,1NY,FEDG,
2023,1MH,4,7/2/2023,11:15,37 MI,64.84129,-166.08717,Brood,6/23/2023,Known,9,1,ZPohlen,,1MH,FEDG,1NY,FEDG,
2023,1MH,5,7/5/2023,12:44,37 MI,64.83983,-166.08142,Brood,6/23/2023,Known,12,1,ZPohlen,,1MH,FEDG,1NY,FEDG,
2023,1MH,6,7/8/2023,9:25,37 MI,64.84421,-166.08313,Brood,6/23/2023,Known,15,1,ZPohlen,,1MH,FEDG,1NY,FEDG,
2023,1MH,7,7/11/2023,10:08,37 MI,64.84106,-166.08638,Brood,6/23/2023,Known,18,1,ZPohlen,,1MH,FEDG,1NY,FEDG,
2023,1MH,8,7/15/2023,17:55,37 MI,64.84920,-166.08791,Fledge,6/23/2023,Known,22,1,ZPohlen,,1MH,FEDG,1NY,FEDG,
