Year,Date,Region,Location,PlotID,Latitude,Longitude,EncounterType,FlagCode,FlagColor,CurrentFlagCode,CurrentFlagColor,Age,Sex,TrackerType1,TrackerType2,TrackerStatus1,TrackerStatus2,Observer,Comments
2023,5/23/2023,Alaska,Nome,37 MI,64.84544,-166.08525,R,1MP,FEDG,1MP,FEDG,AHY,,RADIO,,New,,TOortwijn,
2023,5/24/2023,Alaska,Nome,Tombstone,64.94366,-166.20688,R,1NJ,FEDG,1NJ,FEDG,AHY,,RADIO,,New,,TOortwijn,
2023,5/24/2023,Alaska,Nome,37 MI,64.85517,-166.08270,R,1MT,FEDG,1MT,FEDG,AHY,,,,,,TOortwijn,
2023,5/24/2023,Alaska,Nome,37 MI,64.84125,-166.08755,R,1MP,FEDG,1MP,FEDG,AHY,,,,,,TOortwijn,
2023,5/25/2023,Alaska,Nome,Barrel,64.70663,-165.76692,C,1NV,FEDG,1NV,FEDG,AHY,,RADIO,,New,,TOortwijn,
2023,5/25/2023,Alaska,Nome,Barrel,64.70663,-165.76692,R,1MX,FEDG,1MX,FEDG,AHY,,RADIO,,New,,TOortwijn,
2023,5/27/2023,Alaska,Nome,37 MI,64.84738,-166.08438,R,1MH,FEDG,1MH,FEDG,AHY,,RADIO,,New,,TOortwijn,
2023,5/27/2023,Alaska,Nome,37 MI,64.85084,-166.09125,R,1NL,FEDG,1NL,FEDG,AHY,,RADIO,,New,,TOortwijn,
2023,5/28/2023,Alaska,Nome,34 MI,64.81341,-165.95924,R,1NK,FEDG,1NK,FEDG,AHY,,RADIO,,New,,TOortwijn,
2023,5/31/2023,Alaska,Nome,34 MI,64.82149,-166.03831,R,1MY,FEDG,1MY,FEDG,AHY,,,,,,TOortwijn,
2023,5/31/2023,Alaska,Nome,34 MI,64.82149,-166.03831,R,1EP,FEDG,1EP,FEDG,AHY,,,,,,TOortwijn,
2023,6/5/2023,Alaska,Nome,34 MI,64.82364,-166.03580,R,1NA,FEDG,1NA,FEDG,AHY,,,,,,TOortwijn,
2023,6/6/2023,Alaska,Nome,34 MI,64.81568,-166.00510,R,1MY,FEDG,1MY,FEDG,AHY,,RADIO,,New,,TOortwijn,
2023,6/6/2023,Alaska,Nome,34 MI,64.81371,-165.95268,R,1MJ,FEDG,1MJ,FEDG,AHY,,RADIO,,New,,TOortwijn,
2023,6/8/2023,Alaska,Nome,37 MI,64.85334,-166.08131,R,1CX,FEDG,1CX,FEDG,AHY,,RADIO,,New,,TOortwijn,
2023,6/9/2023,Alaska,Nome,Tombstone,64.94388,-166.20480,C,1NX,FEDG,1NX,FEDG,AHY,,,,,,TOortwijn,
2023,6/10/2023,Alaska,Nome,37 MI,64.84298,-166.08182,R,1MT,FEDG,1MT,FEDG,AHY,,RADIO,,New,,TOortwijn,
2023,6/10/2023,Alaska,Nome,37 MI,64.84624,-166.07990,R,1NE,FEDG,1NE,FEDG,AHY,,,,,,TOortwijn,
2023,6/11/2023,Alaska,Nome,37 MI,64.84805,-166.08647,C,1NY,FEDG,1NY,FEDG,AHY,,,,,,TOortwijn,
2023,6/11/2023,Alaska,Nome,37 MI,64.85123,-166.08031,R,6XH,FELG,6XH,FELG,AHY,,,,,,TOortwijn,
2023,6/11/2023,Alaska,Nome,37 MI,64.84676,-166.08760,C,1PA,FEDG,1PA,FEDG,AHY,,RADIO,,New,,TOortwijn,
2023,6/11/2023,Alaska,Nome,37 MI,64.84751,-166.08745,R,1NC,FEDG,1NC,FEDG,AHY,,RADIO,,New,,TOortwijn,
2023,6/12/2023,Alaska,Nome,37 MI,64.85334,-166.08131,R,1HU,FEDG,1HU,FEDG,AHY,,,,,,TOortwijn,
2023,6/16/2023,Alaska,Nome,34 MI,64.82364,-166.03580,C,1PC,FEDG,1PC,FEDG,AHY,,RADIO,,New,,TOortwijn,
2023,6/19/2023,Alaska,Nome,34 MI,64.82397,-166.04096,C,1PE,FEDG,1PE,FEDG,AHY,,RADIO,,New,,TOortwijn,
2023,6/19/2023,Alaska,Nome,34 MI,64.81348,-166.99275,R,1MN,FEDG,1MN,FEDG,AHY,,RADIO,,New,,TOortwijn,
2023,6/19/2023,Alaska,Nome,34 MI,64.81348,-166.99275,C,1PH,FEDG,1PH,FEDG,AHY,,RADIO,,New,,TOortwijn,
