Year,NestID,Date,PlotID,Time,Latitude,Longitude,Observer,Visit,Stage,NestSeen,Eggs,Chicks,Adult1FlagCode,Adult1FlagColor,Adult2FlagCode,Adult2FlagColor,InitiationDate,NestCondition,Fox,EggFrags,EggBits,Membranes,MembranesShells,AdultBroody,BroodSeen,FailureCause,Comments,Egg1Float,Egg1Surfaced,Egg1mm,Egg2Float,Egg2Surfaced,Egg2mm,Egg3Float,Egg3Surfaced,Egg3mm,Egg4Float,Egg4Surfaced,Egg4mm,,,,,,,,,,,,,,
2023,J-01,5/27/2023,37 MI,14:55,64.85334,-166.08131,,1,Laying,Y,1,,1CX,FEDG,1HU,FEDG,5/27/2023,,,,,,,,,,Scrape empty in the morning,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,J-01,6/2/2023,37 MI,,64.85334,-166.08131,,2,Incubating,N,,,1CX,FEDG,1HU,FEDG,5/27/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,J-01,6/4/2023,37 MI,,64.85334,-166.08131,,3,Incubating,N,,,1CX,FEDG,1HU,FEDG,5/27/2023,,,,,,,,,,thermal binoculars,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,J-01,6/8/2023,37 MI,14:45,64.85334,-166.08131,,4,Incubating,Y,4,,1CX,FEDG,1HU,FEDG,5/27/2023,,,,,,,,,,Captured 1CX (male),,,,,,,,,,,,,,,,,,,,,,,,,,
2023,J-01,6/11/2023,37 MI,,64.85334,-166.08131,,5,Incubating,N,,,1CX,FEDG,1HU,FEDG,5/27/2023,,,,,,,,,,1CX on nest,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,J-01,6/12/2023,37 MI,14:00,64.85334,-166.08131,,6,Incubating,Y,4,,1CX,FEDG,1HU,FEDG,5/27/2023,,,,,,,,,,Captured 1HU (female),,,,,,,,,,,,,,,,,,,,,,,,,,
2023,J-01,6/16/2023,37 MI,13:30,64.85334,-166.08131,,7,Incubating,Y,4,,1CX,FEDG,1HU,FEDG,5/27/2023,,,,,,,,,,"1CX on nest, no cracks",,,,,,,,,,,,,,,,,,,,,,,,,,
2023,J-01,6/17/2023,37 MI,15:00,64.85334,-166.08131,,8,Incubating,Y,4,,1CX,FEDG,1HU,FEDG,5/27/2023,,,,,,,,,,"1HU on nest, no cracks",,,,,,,,,,,,,,,,,,,,,,,,,,
2023,J-01,6/18/2023,37 MI,10:15,64.85334,-166.08131,,9,Incubating,Y,4,,1CX,FEDG,1HU,FEDG,5/27/2023,,,,,,,,,,"1CX on nest, no cracks",,,,,,,,,,,,,,,,,,,,,,,,,,
2023,J-01,6/19/2023,37 MI,11:30,64.85334,-166.08131,,10,Incubating,Y,4,,1CX,FEDG,1HU,FEDG,5/27/2023,,,,,,,,,,"1HU on nest, no cracks",,,,,,,,,,,,,,,,,,,,,,,,,,
2023,J-01,6/21/2023,37 MI,11:13,64.85334,-166.08131,,11,Incubating,Y,4,,1CX,FEDG,1HU,FEDG,5/27/2023,,,,,,,,,,cracks on 1 egg,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,J-01,6/23/2023,37 MI,8:34,64.85334,-166.08131,,12,Incubating,Y,4,,1CX,FEDG,1HU,FEDG,5/27/2023,,,,,,,,,,starring on 2 eggs,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,J-01,6/24/2023,37 MI,10:54,64.85334,-166.08131,,13,Hatched,Y,2,2,1CX,FEDG,1HU,FEDG,5/27/2023,,,,,,,,,,"2 eggs, 2 wet chicks",,,,,,,,,,,,,,,,,,,,,,,,,,
2023,J-01,6/24/2023,37 MI,16:41,64.85334,-166.08131,,14,Hatched,Y,2,2,1CX,FEDG,1HU,FEDG,5/27/2023,Intact,N,N,N,None,None,Y,Y,,"2 chicks, 1 pipped egg, 1 egg no sign of hatch",,,,,,,,,,,,,,,,,,,,,,,,,,
2023,J-01,6/25/2023,37 MI,9:07,64.85334,-166.08131,,15,Hatched,Y,1,3,1CX,FEDG,1HU,FEDG,5/27/2023,,,,,,,,,,"3 chicks, 1 egg no sign of hatch",,,,,,,,,,,,,,,,,,,,,,,,,,
2023,J-01,6/26/2023,37 MI,11:46,64.85334,-166.08131,,16,Hatched,Y,1,0,1CX,FEDG,1HU,FEDG,5/27/2023,,,,,,,,,,collected last egg for samples and found egg was unfertilized,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,T-01,5/27/2023,37 MI,15:50,64.85173,-166.07855,,1,Laying,Y,1,,,,,,5/27/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,T-01,6/2/2023,37 MI,,64.85173,-166.07855,,2,Failed,N,0,,,,,,5/27/2023,Intact,N,,,,,N,N,Predator,Snow period befre failure,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,J-02,6/2/2023,37 MI,,64.84805,-166.08647,,1,Incubating,Y,3,,1MH,FEDG,1NY,FEDG,5/28/2023,,,,,,,,,,Luck finding,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,J-02,6/4/2023,37 MI,,64.84805,-166.08647,,2,Incubating,Y,3,,1MH,FEDG,1NY,FEDG,5/28/2023,,,,,,,,,,radio check,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,J-02,6/11/2023,37 MI,,64.84805,-166.08647,,3,Incubating,Y,3,,1MH,FEDG,1NY,FEDG,5/28/2023,,,,,,,,,,Floated,80,Y,2,80,Y,2,80,Y,3,,,,,,,,,,,,,,,,,
2023,J-02,6/16/2023,37 MI,,64.84805,-166.08647,,4,Incubating,Y,3,,1MH,FEDG,1NY,FEDG,5/28/2023,,,,,,,,,,"1MH on nest, no cracks",,,,,,,,,,,,,,,,,,,,,,,,,,
2023,J-02,6/17/2023,37 MI,,64.84805,-166.08647,,5,Incubating,Y,3,,1MH,FEDG,1NY,FEDG,5/28/2023,,,,,,,,,,no cracks,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,J-02,6/18/2023,37 MI,9:20,64.84805,-166.08647,,6,Incubating,Y,3,,1MH,FEDG,1NY,FEDG,5/28/2023,,,,,,,,,,"1MH on nest, no cracks",,,,,,,,,,,,,,,,,,,,,,,,,,
2023,J-02,6/19/2023,37 MI,10:50,64.84805,-166.08647,,7,Incubating,Y,3,,1MH,FEDG,1NY,FEDG,5/28/2023,,,,,,,,,,"1NY on nest, no cracks",,,,,,,,,,,,,,,,,,,,,,,,,,
2023,J-02,6/21/2023,37 MI,,64.84805,-166.08647,,8,Incubating,Y,3,,1MH,FEDG,1NY,FEDG,5/28/2023,,,,,,,,,,2 eggs with cracks,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,J-02,6/22/2023,37 MI,10:35,64.84805,-166.08647,,9,Incubating,Y,3,,1MH,FEDG,1NY,FEDG,5/28/2023,,,,,,,,,,3 eggs pipped,,,,,,,,,,,,,,,,,,,,,,,,,,
