SpeciesCode,BandNumberOut,Date,Year,Month,Day,Country,StateProvince,Area,Latitude_dec,Longitude_dec,Age,FieldSex,GenSex,BloodFilter,ChickAge_d,ChickAgeType,Notes
LEYE,142221009,6/18/2024,2024,6,18,USA,Alaska,Anchorage,61.17303,-150.03437,,U,M,Y,,,ADFG
LEYE,142267301,6/10/2024,2024,6,10,USA,Alaska,Eielson,64.70163,-147.08936,AHY,U,f,Y,,,
LEYE,142267302,6/11/2024,2024,6,11,USA,Alaska,Eielson,64.65587,-147.02623,AHY,U,f,Y,,,
LEYE,142267303,6/13/2024,2024,6,13,USA,Alaska,Eielson,64.737156,-147.066597,AHY,U,m,Y,,,
LEYE,142267304,6/13/2024,2024,6,13,USA,Alaska,Eielson,64.737156,-147.066597,AHY,U,f,Y,,,
LEYE,142267305,6/13/2024,2024,6,13,USA,Alaska,Eielson,64.737156,-147.066597,L,U,f,Y,2,estimated,
LEYE,142267306,6/13/2024,2024,6,13,USA,Alaska,Eielson,64.737156,-147.066597,L,U,f,Y,2,estimated,
LEYE,142267307,6/13/2024,2024,6,13,USA,Alaska,Eielson,64.737156,-147.066597,L,U,f,Y,2,estimated,
LEYE,142267308,6/13/2024,2024,6,13,USA,Alaska,Eielson,64.737156,-147.066597,L,U,m,Y,2,estimated,
LEYE,142267309,6/13/2024,2024,6,13,USA,Alaska,Eielson,64.655231,-147.017425,AHY,U,m,Y,,,"Right hip dislocated? Noticed after placing metal band. Possibly got dislodged while securing right leg during banding? Alert otherwise. Decided to keep flag on upper left leg for survival. Released and flew away fine, dropped into grassy wetland, could not monitor, and wanted to give space."
LEYE,142267310,6/13/2024,2024,6,13,USA,Alaska,Eielson,64.66901,-147.02632,AHY,U,m,Y,,,
LEYE,142267311,6/14/2024,2024,6,14,USA,Alaska,Eielson,64.67249,-147.0268,AHY,U,f,Y,,,
LEYE,142267312,6/17/2024,2024,6,17,USA,Alaska,Eielson,64.655033,-147.002977,AHY,U,f,Y,,,
LEYE,142267313,6/17/2024,2024,6,17,USA,Alaska,Eielson,64.655033,-147.002977,AHY,U,m,Y,,,
LEYE,142267314,6/18/2024,2024,6,18,USA,Alaska,Eielson,64.733285,-147.08244,AHY,U,f,Y,,,
LEYE,142267315,6/18/2024,2024,6,18,USA,Alaska,Eielson,64.733285,-147.08244,AHY,U,m,Y,,,
LEYE,142267319,6/19/2024,2024,6,19,USA,Alaska,Eielson,64.704247,-147.092877,AHY,U,f,Y,, ,
LEYE,142267320,6/19/2024,2024,6,19,USA,Alaska,Eielson,64.704247,-147.092877,AHY,U,m,Y,,,
LEYE,142267321,6/19/2024,2024,6,19,USA,Alaska,Eielson,64.704247,-147.092877,L,U,m,Y,,,
LEYE,142267322,6/19/2024,2024,6,19,USA,Alaska,Eielson,64.704247,-147.092877,L,U,m,Y,,,
LEYE,142267323,6/19/2024,2024,6,19,USA,Alaska,Eielson,64.704247,-147.092877,L,U,f,Y,,,
LEYE,142267324,6/19/2024,2024,6,19,USA,Alaska,Eielson,64.704247,-147.092877,L,U,f,Y,,,
LEYE,142267325,6/19/2024,2024,6,19,USA,Alaska,Eielson,64.704247,-147.092877,AHY,U,f,Y,,,
LEYE,142267326,6/20/2024,2024,6,20,USA,Alaska,Eielson,64.73873,-147.06151,AHY,U,m,Y,,,
LEYE,142267327,6/20/2024,2024,6,20,USA,Alaska,Eielson,64.73873,-147.06151,AHY,U,f,Y,,,
LEYE,142267328,6/20/2024,2024,6,20,USA,Alaska,Eielson,64.73873,-147.06151,L,U,f,Y,1,Known,egg tooth
LEYE,142267329,6/20/2024,2024,6,20,USA,Alaska,Eielson,64.73873,-147.06151,L,U,f,Y,,,
LEYE,142267330,6/20/2024,2024,6,20,USA,Alaska,Eielson,64.73873,-147.06151,L,U,m,Y,,,
LEYE,142267331,6/20/2024,2024,6,20,USA,Alaska,Eielson,64.73873,-147.06151,L,U,f,Y,,,
LEYE,142267332,6/20/2024,2024,6,20,USA,Alaska,Eielson,64.6714,-147.0465,AHY,U,f,Y,,,
SOSA,264175416,6/21/2024,2024,6,21,USA,Alaska,Eielson,64.702017,-147.098636,AHY,U,m,Y,,,
SOSA,264175417,6/21/2024,2024,6,21,USA,Alaska,Eielson,64.702017,-147.098636,AHY,U,"F
",Y,,,
SOSA,264175418,6/18/2024,2024,6,18,USA,Alaska,Eielson,64.66475,-147.02352,AHY,U,F,Y,,,
SOSA,264175419,6/17/2024,2024,6,17,USA,Alaska,Eielson,64.696283,-147.040305,AHY,U,m,Y,,,
SOSA,264175420,6/17/2024,2024,6,17,USA,Alaska,Eielson,64.696283,-147.040305,AHY,U,f,Y,,,
SOSA,264175421,6/17/2024,2024,6,17,USA,Alaska,Eielson,64.651897,-147.999167,AHY,U,m,Y,,,
SOSA,264175423,6/17/2024,2024,6,17,USA,Alaska,Eielson,64.651897,-147.999167,AHY,U,f,Y,,,
SOSA,292194028,6/21/2024,2024,6,21,USA,Alaska,Eielson,64.702017,-147.098636,L,U,f,Y,1,Known,
SOSA,292194029,6/21/2024,2024,6,21,USA,Alaska,Eielson,64.702017,-147.098636,L,U,m,Y,1,Known,
SOSA,292194030,6/21/2024,2024,6,21,USA,Alaska,Eielson,64.702017,-147.098636,L,U,m,Y,1,Known,
SOSA,292194031,6/21/2024,2024,6,21,USA,Alaska,Eielson,64.702017,-147.098636,L,U,f,Y,1,Known,
SPSA,257153331,6/2/2021,2021,6,2,USA,Alaska,Eielson,64.7136,-147.1191,AHY,U,f,Y,,,
SPSA,257153332,6/2/2021,2021,6,2,USA,Alaska,Eielson,64.7095,-147.1198,AHY,U,f,Y,,,
SPSA,257153333,6/2/2021,2021,6,2,USA,Alaska,Eielson,64.7136,-147.1191,AHY,U,m,Y,,,
SPSA,257153334,6/2/2021,2021,6,2,USA,Alaska,Eielson,64.7136,-147.1191,AHY,U,f,Y,,,
SPSA,257153335,6/8/2021,2021,6,8,USA,Alaska,Eielson,64.6955,-147.1212,AHY,U,f,Y,,,
SPSA,257153336,6/8/2021,2021,6,8,USA,Alaska,Eielson,64.695353,-147.120964,AHY,U,m,Y,,,
SPSA,257153337,6/8/2021,2021,6,8,USA,Alaska,Eielson,64.6955,-147.1214,AHY,U,m,Y,,,
SPSA,257153338,6/18/2021,2021,6,18,USA,Alaska,Eielson,64.711238,-147.1167,AHY,U,m,Y,,,
SPSA,257153339,6/18/2021,2021,6,18,USA,Alaska,Eielson,64.713356,-147.1186,AHY,U,m,Y,,,
SPSA,257153340,6/18/2021,2021,6,18,USA,Alaska,Eielson,64.714906,-147.1193,AHY,U,m,Y,,,
SPSA,257153341,6/19/2021,2021,6,19,USA,Alaska,Eielson,64.6386,-147.0375,AHY,U,m,Y,,,
SPSA,257153347,6/19/2021,2021,6,19,USA,Alaska,Eielson,64.6094,-147.0616,AHY,U,m,Y,,,
SPSA,257153318,5/27/2022,2022,5,27,USA,Alaska,Eielson,64.710661,-147.118631,AHY,F,F,Y,,,
SPSA,257153319,5/27/2022,2022,5,27,USA,Alaska,Eielson,64.71056,-147.118487,AHY,F,m,Y,,,
SPSA,257153320,6/5/2022,2022,6,5,USA,Alaska,Eielson,64.68713,-147.1394,AHY,U,m,Y,,,
SPSA,257153321,6/5/2022,2022,6,5,USA,Alaska,Eielson,64.68643,-147.13634,AHY,F,f,Y,,,
SPSA,257153322,6/5/2022,2022,6,5,USA,Alaska,Eielson,64.68643,-147.13634,AHY,M,m,Y,,,
SPSA,257153323,6/6/2022,2022,6,6,USA,Alaska,Eielson,64.66938,-147.11944,AHY,F,F,Y,,,
SPSA,257153324,6/6/2022,2022,6,6,USA,Alaska,Eielson,64.66787,-147.11864,AHY,U,m,Y,,,
SPSA,257153325,6/6/2022,2022,6,6,USA,Alaska,Eielson,64.63914,-147.02377,AHY,U,m,Y,,,
SPSA,257153326,6/6/2022,2022,6,6,USA,Alaska,Eielson,64.63914,-147.02377,AHY,F,f,Y,,,
SPSA,257153327,6/7/2022,2022,6,7,USA,Alaska,Eielson,64.63869,-147.03674,AHY,U,f,Y,,,
SPSA,257153328,6/7/2022,2022,6,7,USA,Alaska,Eielson,64.71305,-147.11869,AHY,U,m,Y,,,
SPSA,257153329,6/10/2023,2023,6,10,USA,Alaska,Eielson,64.71436,-147.11968,AHY,U,m,Y,,,
SPSA,257153330,6/10/2023,2023,6,10,USA,Alaska,Eielson,64.71436,-147.11968,AHY,F,"F
",Y,,,
