BAND NUMBER,BAND_SIZE,BAND_TYPE,ISSUE OR TRANSFER REQUEST DATE
122274233,2,BE,10/11/2017
122274266,2,BE,10/11/2017
122274267,2,BE,10/11/2017
122274268,2,BE,10/11/2017
122274269,2,BE,10/11/2017
122274270,2,BE,10/11/2017
122274271,2,BE,10/11/2017
122275001,2,BE,10/04/2017
122275002,2,BE,10/04/2017
122275003,2,BE,10/04/2017
122275004,2,BE,10/04/2017
122275005,2,BE,10/04/2017
122275006,2,BE,10/04/2017
122275007,2,BE,10/04/2017
122275008,2,BE,10/04/2017
122275009,2,BE,10/04/2017
122275010,2,BE,10/04/2017
122275011,2,BE,10/04/2017
122275012,2,BE,10/04/2017
122275013,2,BE,10/04/2017
122275014,2,BE,10/04/2017
122275015,2,BE,10/04/2017
122275016,2,BE,10/04/2017
122275017,2,BE,10/04/2017
122275018,2,BE,10/04/2017
122275019,2,BE,10/04/2017
122275020,2,BE,10/04/2017
122275021,2,BE,10/04/2017
122275022,2,BE,10/04/2017
122275023,2,BE,10/04/2017
122275024,2,BE,10/04/2017
122275025,2,BE,10/04/2017
122275026,2,BE,10/04/2017
122275027,2,BE,10/04/2017
122275028,2,BE,10/04/2017
122275029,2,BE,10/04/2017
122275030,2,BE,10/04/2017
122275031,2,BE,10/04/2017
122275032,2,BE,10/04/2017
122275033,2,BE,10/04/2017
122275034,2,BE,10/04/2017
122275035,2,BE,10/04/2017
122275036,2,BE,10/04/2017
122275037,2,BE,10/04/2017
122275038,2,BE,10/04/2017
122275039,2,BE,10/04/2017
122275040,2,BE,10/04/2017
122275041,2,BE,10/04/2017
122275042,2,BE,10/04/2017
122275043,2,BE,10/04/2017
122275044,2,BE,10/04/2017
122275045,2,BE,10/04/2017
122275046,2,BE,10/04/2017
122275047,2,BE,10/04/2017
122275048,2,BE,10/04/2017
122275049,2,BE,10/04/2017
122275050,2,BE,10/04/2017
122275051,2,BE,10/04/2017
122275052,2,BE,10/04/2017
122275053,2,BE,10/04/2017
122275054,2,BE,10/04/2017
122275055,2,BE,10/04/2017
122275056,2,BE,10/04/2017
122275057,2,BE,10/04/2017
122275058,2,BE,10/04/2017
122275059,2,BE,10/04/2017
122275060,2,BE,10/04/2017
122275061,2,BE,10/04/2017
122275062,2,BE,10/04/2017
122275063,2,BE,10/04/2017
122275064,2,BE,10/04/2017
122275065,2,BE,10/04/2017
122275066,2,BE,10/04/2017
122275067,2,BE,10/04/2017
122275068,2,BE,10/04/2017
122275069,2,BE,10/04/2017
122275070,2,BE,10/04/2017
122275071,2,BE,10/04/2017
122275072,2,BE,10/04/2017
122275073,2,BE,10/04/2017
122275074,2,BE,10/04/2017
122275075,2,BE,10/04/2017
122275076,2,BE,10/04/2017
122275077,2,BE,10/04/2017
122275078,2,BE,10/04/2017
122275079,2,BE,10/04/2017
122275080,2,BE,10/04/2017
122275081,2,BE,10/04/2017
122275082,2,BE,10/04/2017
122275083,2,BE,10/04/2017
122275084,2,BE,10/04/2017
122275085,2,BE,10/04/2017
122275086,2,BE,10/04/2017
122275087,2,BE,10/04/2017
122275088,2,BE,10/04/2017
122275089,2,BE,10/04/2017
122275090,2,BE,10/04/2017
122275091,2,BE,10/04/2017
122275092,2,BE,10/04/2017
122275093,2,BE,10/04/2017
122275094,2,BE,10/04/2017
122275095,2,BE,10/04/2017
122275096,2,BE,10/04/2017
122275097,2,BE,10/04/2017
122275098,2,BE,10/04/2017
122275099,2,BE,10/04/2017
122275100,2,BE,10/04/2017
123233601,2,BE,07/14/2006
123233602,2,BE,07/14/2006
123233603,2,BE,07/14/2006
123233604,2,BE,07/14/2006
123233605,2,BE,07/14/2006
123233606,2,BE,07/14/2006
123233607,2,BE,07/14/2006
123233608,2,BE,07/14/2006
123233609,2,BE,07/14/2006
123233610,2,BE,07/14/2006
123233611,2,BE,07/14/2006
123233612,2,BE,07/14/2006
123233613,2,BE,07/14/2006
123233614,2,BE,07/14/2006
123233615,2,BE,07/14/2006
123233616,2,BE,07/14/2006
123233617,2,BE,07/14/2006
123233618,2,BE,07/14/2006
123233619,2,BE,07/14/2006
123233620,2,BE,07/14/2006
123233621,2,BE,07/14/2006
123233622,2,BE,07/14/2006
123233623,2,BE,07/14/2006
123233624,2,BE,07/14/2006
123233625,2,BE,07/14/2006
123233626,2,BE,07/14/2006
123233627,2,BE,07/14/2006
123233628,2,BE,07/14/2006
123233629,2,BE,07/14/2006
123233630,2,BE,07/14/2006
123233631,2,BE,07/14/2006
123233632,2,BE,07/14/2006
123233633,2,BE,07/14/2006
123233634,2,BE,07/14/2006
123233635,2,BE,07/14/2006
123233636,2,BE,07/14/2006
123233637,2,BE,07/14/2006
123233638,2,BE,07/14/2006
123233639,2,BE,07/14/2006
123233640,2,BE,07/14/2006
123233641,2,BE,07/14/2006
123233642,2,BE,07/14/2006
123233643,2,BE,07/14/2006
123233644,2,BE,07/14/2006
123233645,2,BE,07/14/2006
123233646,2,BE,07/14/2006
123233647,2,BE,07/14/2006
123233648,2,BE,07/14/2006
123233649,2,BE,07/14/2006
123233650,2,BE,07/14/2006
123233651,2,BE,07/14/2006
123233652,2,BE,07/14/2006
123233653,2,BE,07/14/2006
123233654,2,BE,07/14/2006
123233655,2,BE,07/14/2006
123233656,2,BE,07/14/2006
123233657,2,BE,07/14/2006
123233658,2,BE,07/14/2006
123233659,2,BE,07/14/2006
123233660,2,BE,07/14/2006
123233661,2,BE,07/14/2006
123233662,2,BE,07/14/2006
123233663,2,BE,07/14/2006
123233664,2,BE,07/14/2006
123233665,2,BE,07/14/2006
123233666,2,BE,07/14/2006
123233667,2,BE,07/14/2006
123233668,2,BE,07/14/2006
123233669,2,BE,07/14/2006
123233670,2,BE,07/14/2006
123233671,2,BE,07/14/2006
123233672,2,BE,07/14/2006
123233673,2,BE,07/21/2020
123233674,2,BE,07/21/2020
123233675,2,BE,07/21/2020
123233676,2,BE,07/21/2020
123233677,2,BE,07/21/2020
123233678,2,BE,07/21/2020
123233679,2,BE,07/21/2020
123233680,2,BE,07/21/2020
123233681,2,BE,07/21/2020
123233682,2,BE,07/21/2020
123233683,2,BE,07/21/2020
123233684,2,BE,07/21/2020
123233685,2,BE,07/21/2020
123233686,2,BE,07/21/2020
123233687,2,BE,07/21/2020
123233688,2,BE,07/21/2020
123233689,2,BE,07/21/2020
123233690,2,BE,07/21/2020
123233691,2,BE,07/21/2020
123233692,2,BE,07/21/2020
123233693,2,BE,07/21/2020
123233694,2,BE,07/21/2020
123233695,2,BE,07/21/2020
123233696,2,BE,07/21/2020
123233697,2,BE,07/21/2020
123233698,2,BE,07/21/2020
123233699,2,BE,07/21/2020
123233700,2,BE,07/14/2006
129231903,2,BE,07/07/2020
129231904,2,BE,07/07/2020
129231905,2,BE,07/07/2020
129231906,2,BE,07/07/2020
129231907,2,BE,07/07/2020
129231908,2,BE,07/07/2020
129231909,2,BE,12/03/2008
129231910,2,BE,07/07/2020
129231922,2,BE,10/28/2008
129231923,2,BE,10/28/2008
129231924,2,BE,10/28/2008
129231925,2,BE,10/28/2008
129231926,2,BE,10/28/2008
129231927,2,BE,07/07/2020
129231928,2,BE,07/07/2020
129231929,2,BE,07/07/2020
129231930,2,BE,07/07/2020
129231931,2,BE,07/07/2020
129231932,2,BE,07/07/2020
129231933,2,BE,07/07/2020
129231934,2,BE,07/07/2020
129231935,2,BE,07/07/2020
129231936,2,BE,07/07/2020
129231937,2,BE,10/28/2008
129231938,2,BE,10/28/2008
129231939,2,BE,10/28/2008
129231940,2,BE,10/28/2008
129231955,2,BE,07/07/2020
129231956,2,BE,07/07/2020
129231957,2,BE,07/07/2020
129231958,2,BE,07/07/2020
129231959,2,BE,07/07/2020
129231960,2,BE,07/07/2020
129231961,2,BE,10/28/2008
129231962,2,BE,07/07/2020
129231963,2,BE,10/28/2008
129231964,2,BE,07/07/2020
129231965,2,BE,07/07/2020
129231995,2,BE,07/07/2020
129231996,2,BE,07/07/2020
129231997,2,BE,10/28/2008
129231998,2,BE,10/28/2008
129231999,2,BE,10/28/2008
129232000,2,BE,10/28/2008
129232001,2,BE,07/07/2020
129232002,2,BE,07/07/2020
129232003,2,BE,07/07/2020
129232004,2,BE,07/07/2020
129232005,2,BE,07/07/2020
129232006,2,BE,07/07/2020
129232007,2,BE,07/07/2020
129232008,2,BE,07/07/2020
129232009,2,BE,07/07/2020
129232010,2,BE,07/07/2020
129232011,2,BE,07/07/2020
129232012,2,BE,07/07/2020
129232013,2,BE,07/07/2020
129232014,2,BE,10/28/2008
129232015,2,BE,10/28/2008
129232016,2,BE,10/28/2008
129232017,2,BE,10/28/2008
129232018,2,BE,10/28/2008
129232019,2,BE,10/28/2008
129232020,2,BE,07/07/2020
129232021,2,BE,07/07/2020
129232022,2,BE,07/07/2020
129232023,2,BE,07/07/2020
129232024,2,BE,07/07/2020
129232025,2,BE,10/28/2008
129232026,2,BE,10/28/2008
129232027,2,BE,10/28/2008
129232028,2,BE,07/07/2020
129232029,2,BE,10/28/2008
129232030,2,BE,07/07/2020
129232031,2,BE,10/28/2008
129232032,2,BE,10/28/2008
129232033,2,BE,10/28/2008
129232034,2,BE,10/28/2008
129232035,2,BE,10/28/2008
129232036,2,BE,10/28/2008
129232037,2,BE,10/28/2008
129232038,2,BE,10/28/2008
129232039,2,BE,10/28/2008
129232040,2,BE,10/28/2008
129232041,2,BE,10/28/2008
129232042,2,BE,10/28/2008
129232043,2,BE,10/28/2008
129232044,2,BE,10/28/2008
129232045,2,BE,10/28/2008
129232046,2,BE,10/28/2008
129232047,2,BE,10/28/2008
129232048,2,BE,10/28/2008
129232049,2,BE,10/28/2008
129232050,2,BE,10/28/2008
129232051,2,BE,10/28/2008
129232052,2,BE,10/28/2008
129232053,2,BE,10/28/2008
129232054,2,BE,10/28/2008
129232055,2,BE,10/28/2008
129232056,2,BE,10/28/2008
129232057,2,BE,10/28/2008
129232058,2,BE,10/28/2008
129232059,2,BE,10/28/2008
129232060,2,BE,10/28/2008
129232061,2,BE,10/28/2008
129232062,2,BE,10/28/2008
129232063,2,BE,10/28/2008
129232064,2,BE,10/28/2008
129232065,2,BE,07/07/2020
129232066,2,BE,07/07/2020
129232067,2,BE,07/07/2020
129232068,2,BE,07/07/2020
129232069,2,BE,07/07/2020
129232070,2,BE,07/07/2020
129232071,2,BE,07/07/2020
129232072,2,BE,07/07/2020
129232073,2,BE,07/07/2020
129232074,2,BE,07/07/2020
129232075,2,BE,07/07/2020
129232076,2,BE,07/07/2020
129232077,2,BE,07/07/2020
129232078,2,BE,07/07/2020
129232079,2,BE,07/07/2020
129232080,2,BE,07/07/2020
129232081,2,BE,07/07/2020
129232082,2,BE,10/28/2008
129232083,2,BE,10/28/2008
129232084,2,BE,10/28/2008
129232085,2,BE,10/28/2008
129232086,2,BE,10/28/2008
129232087,2,BE,10/28/2008
129232088,2,BE,10/28/2008
129232089,2,BE,10/28/2008
129232090,2,BE,10/28/2008
129232091,2,BE,10/28/2008
129232092,2,BE,10/28/2008
129232093,2,BE,10/28/2008
129232094,2,BE,10/28/2008
129232095,2,BE,10/28/2008
129232096,2,BE,10/28/2008
129232097,2,BE,10/28/2008
129232098,2,BE,10/28/2008
129232099,2,BE,10/28/2008
129232100,2,BE,10/28/2008
129232146,2,BE,07/07/2020
129232147,2,BE,07/07/2020
129232148,2,BE,07/07/2020
129232149,2,BE,07/07/2020
129232150,2,BE,07/07/2020
129232151,2,BE,07/07/2020
129232152,2,BE,07/07/2020
129232153,2,BE,07/07/2020
129232154,2,BE,07/07/2020
129232155,2,BE,07/07/2020
129232156,2,BE,07/07/2020
129232157,2,BE,07/07/2020
129232158,2,BE,10/28/2008
129232159,2,BE,10/28/2008
129232160,2,BE,07/07/2020
129232161,2,BE,07/07/2020
129232162,2,BE,07/07/2020
129232163,2,BE,07/07/2020
129232164,2,BE,07/07/2020
129232165,2,BE,07/07/2020
129232166,2,BE,07/07/2020
129232167,2,BE,07/07/2020
129232168,2,BE,07/07/2020
129232169,2,BE,07/07/2020
129232170,2,BE,07/07/2020
129232171,2,BE,07/07/2020
129232172,2,BE,07/07/2020
129232173,2,BE,07/07/2020
129232174,2,BE,10/28/2008
129232175,2,BE,10/28/2008
129232176,2,BE,10/28/2008
129232177,2,BE,10/28/2008
129232178,2,BE,10/28/2008
129232179,2,BE,07/07/2020
129232180,2,BE,10/28/2008
129232181,2,BE,07/07/2020
129232182,2,BE,10/28/2008
129232183,2,BE,10/28/2008
129232184,2,BE,10/28/2008
129232185,2,BE,10/28/2008
129232186,2,BE,10/28/2008
129232187,2,BE,07/07/2020
129232188,2,BE,10/28/2008
129232189,2,BE,10/28/2008
129232190,2,BE,10/28/2008
129232191,2,BE,10/28/2008
129232192,2,BE,10/28/2008
129232193,2,BE,10/28/2008
129232194,2,BE,10/28/2008
129232195,2,BE,10/28/2008
129232196,2,BE,10/28/2008
129232197,2,BE,10/28/2008
129232198,2,BE,10/28/2008
129232199,2,BE,10/28/2008
129232200,2,BE,10/28/2008
129267697,2,BE,07/05/2020
129267699,2,BE,07/05/2020
142220901,2,BE,04/19/2022
142220902,2,BE,04/19/2022
142220903,2,BE,04/19/2022
142220904,2,BE,04/19/2022
142220905,2,BE,04/19/2022
142220906,2,BE,04/19/2022
142220907,2,BE,04/19/2022
142220908,2,BE,04/19/2022
142220909,2,BE,04/19/2022
142220910,2,BE,04/19/2022
142220911,2,BE,04/19/2022
142220912,2,BE,04/19/2022
142220913,2,BE,04/19/2022
142220914,2,BE,04/19/2022
142220915,2,BE,04/19/2022
142220916,2,BE,04/19/2022
142220917,2,BE,04/19/2022
142220918,2,BE,04/19/2022
142220919,2,BE,04/19/2022
