Country,StateProvince,City,Area,PlotID,PlotName,Latitude_dec,Longitude_dec
USA,AK,Anchorage,,UTME,Utility Meadow,61.174625,-150.041585
USA,AK,Anchorage,,CLME,Clithroe Meadow,61.175196,-150.035961
USA,AK,Anchorage,,AIME,Airport Meadow,61.170296,-150.048482
USA,AK,Anchorage,JBER,AMCO,Ammo Country ,61.306845,-149.786518
USA,AK,Anchorage,JBER,BABO,Basher Bog,61.160718,-149.743592
USA,AK,Anchorage,JBER,BELA,Beebe Lake,61.295093,-149.796394
USA,AK,Anchorage,JBER,BLPO,Blackpoll Pond,,
USA,AK,Anchorage,JBER,CLSO,Clunie Lake South,61.345536,-149.61552
USA,AK,Anchorage,JBER,DENA,Dena'ina road,,
USA,AK,Anchorage,JBER,ERF,Eagle River Flats,,
USA,AK,Anchorage,JBER,FILA,Fish Lake,,
USA,AK,Anchorage,JBER,FTLA,Fish Triangle Lakes,61.270778,-149.80986
USA,AK,Anchorage,JBER,GRLA,,,
USA,AK,Anchorage,JBER,HILA,Hillberg Lake,61.274658,-149.83183
USA,AK,Anchorage,JBER,LSLA,Lower Sixmile Lake,61.289103,-149.806066
USA,AK,Anchorage,JBER,MCMA,McVeigh Marsh,61.244036,-149.664576
USA,AK,Anchorage,JBER,OLNO,Otter Lake North,61.288114,-149.732074
USA,AK,Anchorage,JBER,OLSL,Otter Lake Slough,61.286158,-149.747806
USA,AK,Anchorage,JBER,OLSO,Otter Lake South,61.284202,-149.749317
USA,AK,Anchorage,JBER,SPLA,Spring Lake,61.282546,-149.814995
USA,AK,Anchorage,JBER,SPLA2,Spring Lake 2,61.285968,-149.813414
USA,AK,Anchorage,JBER,USLA,Upper Sixmile Lake,61.283412,-149.773226
USA,AK,Anchorage,JBER,WEPO,Web Pond,61.374368,-149.612636
USA,AK,Anchorage,,1,Potter Marsh,61.06136975,-149.8001317
USA,AK,Anchorage,,25,Ship Creek East,,
USA,AK,Anchorage,JBER,262,SW of Elephant Cage,,
USA,AK,Anchorage,JBER,550,West of Eagle River Flats,,
USA,AK,Anchorage,,556,Ship Creek West,,
USA,AK,Anchorage,JBER,564,West of Runway,61.24545,-149.870642
USA,AK,Anchorage,JbeR,600,Dishno Pond,,
USA,AK,Anchorage,JBER,607,Entrance,61.234291,-149.775673
USA,AK,Anchorage,JBER,652,McVeigh Marsh,,
USA,AK,Anchorage,,694,btwn 35th & 37th,,
USA,AK,Anchorage,,782,Walden Lake,,
USA,AK,Anchorage,,790,Ship Creek and Vandenberg,,
USA,AK,Anchorage,,834,Bunker Hill Bivouac,,
USA,AK,Anchorage,,871,Thompson Lake,,
USA,AK,Anchorage,JBER,983,Eagle River Flats South,61.297858,-149.707031
USA,AK,Anchorage,,999,,,
USA,AK,Anchorage,,1044,South of Lake Kiowa,,
USA,AK,Anchorage,JBER,1109,Web Pond,,
USA,AK,Anchorage,,1141,Gwen Lake and Lake Kiowa,,
USA,AK,Anchorage,JBER,1153,SW of Triangle Lake,,
USA,AK,Anchorage,JBER,1159,Otter Lake,61.2872318,-149.7261314
USA,AK,Anchorage,,1251,East of Muldoon,,
USA,AK,Anchorage,JBER,1302,Triangle & Fish Lakes,,
USA,AK,Anchorage,,1318,Chain Lakes,,
USA,AK,Anchorage,JBER,1362,Sixmile Lake,61.28667,-149.79289
USA,AK,Anchorage,JBER,1363,Spring Lake,61.282546,-149.814995
USA,AK,Anchorage,JBER,1385,Clunie Lake,61.34692671,-149.6133549
USA,AK,Anchorage,JBER,1415,Main Gate,,
USA,AK,Anchorage,JBER,1547,S of Elephant Cage,,
USA,AK,Anchorage,JBER,1683,Beebe Lake,61.29573115,-149.7969367
USA,AK,Anchorage,,1694,Green Lake,,
USA,AK,Anchorage,JBER,1709,Eagle River Flats East,,
USA,AK,Anchorage,JBER,1712,S of Web Pond,,
USA,AK,Anchorage,JBER,1722,N of Ammo Dump,,
